AREA_CODE,YEAR,JAN_CNT,FEB_CNT,MAR_CNT,APR_CNT,MAY_CNT,JUN_CNT,JUL_CNT,AUG_CNT,SEP_CNT,OCT_CNT,NOV_CNT,DEC_CNT,MARRY_FLAG,OID
01,110,88,57,114,94,87,73,92,84,95,93,102,95,N,11001N
01,110,226,157,198,164,320,179,173,99,209,270,240,275,Y,11001Y
02,110,74,63,87,88,84,67,86,87,75,80,89,85,N,11002N
02,110,248,129,191,149,278,174,173,93,226,225,205,279,Y,11002Y
03,110,14,13,22,16,17,14,15,24,15,16,16,13,N,11003N
03,110,30,19,34,35,52,34,34,22,54,39,46,46,Y,11003Y
04,110,33,31,51,46,30,28,41,42,41,34,45,44,N,11004N
04,110,77,51,64,45,103,93,61,41,90,98,87,113,Y,11004Y
05,110,29,25,42,34,29,25,33,38,26,37,34,28,N,11005N
05,110,65,51,69,65,105,58,51,34,69,86,74,88,Y,11005Y
06,110,16,15,18,16,19,18,26,19,15,26,24,22,N,11006N
06,110,45,25,46,30,51,28,39,17,40,56,46,55,Y,11006Y
07,110,25,18,34,26,31,22,31,36,29,35,33,44,N,11007N
07,110,80,47,71,54,104,69,65,27,75,86,75,114,Y,11007Y
08,110,43,45,51,59,37,41,30,55,47,50,45,40,N,11008N
08,110,105,56,104,57,129,71,92,45,111,126,115,113,Y,11008Y
09,110,25,18,33,13,26,24,21,39,23,24,30,37,N,11009N
09,110,71,41,71,38,82,51,48,21,67,72,70,82,Y,11009Y
10,110,36,38,45,41,52,45,53,41,57,37,49,59,N,11010N
10,110,124,59,106,83,111,96,69,39,118,120,112,120,Y,11010Y
11,110,5,7,12,13,10,11,18,7,4,4,14,10,N,11011N
11,110,30,15,29,19,23,22,14,5,28,28,22,21,Y,11011Y
12,110,8,7,17,19,14,14,18,16,12,7,19,20,N,11012N
12,110,21,28,45,19,41,29,30,16,42,34,37,36,Y,11012Y
13,110,4,3,0,1,5,1,2,9,2,4,4,6,N,11013N
13,110,5,8,7,5,8,7,8,8,5,5,2,13,Y,11013Y
